IG,Y_all,E_all,pm10,smoke,ethnic,log.price,easting,northing
S02000669,118,114.572536,20.3,31.5,37.5,11.36500533,25.85672136,66.66448388
S02000670,73,87.893338,20.1,43.7,43.5,11.09175771,26.09570074,66.68466818
S02000671,107,105.207834,19.1,25.6,12.44,11.65268741,25.52748779,66.6885438
S02000672,68,100.099917,19.8,23.8,29.57,12.06681058,25.67647333,66.689901269999993
S02000673,87,81.95975,18.4,35.2,5.92,11.19821472,25.39569723,66.67743101
S02000674,71,57.242406,18.3,48.9,1.73,11.35627165,26.76286678,66.69813896
S02000675,107,110.084393,19.6,31.9,29.44,11.52435984,25.80018848,66.71224831
S02000676,105,94.358374,20,43.6,22.33,11.37362891,25.96832918,66.71992984
S02000677,95,99.656413,18.4,21.4,8.88,11.99843328,25.55834435,66.72257553
S02000678,121,91.653226,19.2,29,1.56,10.96819829,26.29859629,66.73642237
S02000679,135,119.745482,18.1,23.3,7.59,12.04941884,25.47986488,66.74067471
S02000680,84,82.226885,19.45,45.4,25.83,11.1124479,26.11071479,66.74288366
S02000681,65,81.991143,19,18.9,9.65,12.26079755,25.62238671,66.74464345
S02000682,73,89.231593,18.1,21.7,7.59,11.85296277,25.41360485,66.74514285
S02000683,60,65.997681,19.2,28.5,16.05,12.08390501,25.71663358,66.74803684
S02000684,139,89.642711,18.1,35.1,16.77,11.15617909,25.27010753,66.76401449
S02000685,156,102.859485,19.6,48.3,3.33,10.55189884,25.85390305,66.76594291
S02000686,129,114.390778,18.2,22.9,15.14,12.01370075,25.32487202,66.78476129
S02000687,114,97.304673,19,40.8,6.75,10.98529272,26.208016,66.79448473
S02000688,156,112.820086,18.3,38.7,9.35,11.72799652,25.7437254,66.81308828
S02000689,149,154.593327,17.7,18.9,10.61,12.14419724,25.45575908,66.82148635
S02000690,137,146.936998,18.2,16,16.35,11.69524702,25.60163089,66.83866067
S02000691,202,153.952961,18.5,39.7,1.83,11.05524559,26.10851414,66.84697364
S02000692,229,164.097111,18.45,41.8,2.19,11.00209984,25.89022581,66.85015529
S02000693,138,122.558934,18.2,39.1,2.49,10.81977828,25.66947317,66.85790905
S02000694,144,96.659149,18.7,41.6,6.83,11.00209984,26.0332857,66.85803398
S02000695,59,74.604575,18.3,28.2,11.49,11.71177632,26.37819644,66.85995192
S02000696,72,68.307158,17.3,42.1,4.4,11.11988288,25.14619851,66.86364578
S02000697,166,118.913932,18.45,39.4,1.14,10.9241383,26.21193698,66.88143575
S02000698,127,107.396261,17.7,31,15.96,11.77528973,25.33357622,66.88587157
S02000699,145,135.70537,17.4,30.8,4.63,11.22524339,25.24764657,66.89043846
S02000700,82,76.798065,17.5,39.4,5.23,10.95080655,25.66723109,66.91869115
S02000701,148,126.889651,17.5,39.7,1.48,11.06272446,25.88739998,66.92243977
S02000702,98,111.959957,17.7,22.8,16.8,11.6127708,25.53650674,66.92573389
